n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,threshold,val_precision_lcb,val_precision,val_accuracy,n_preds_val,n_preds_test,test_precision,test_accuracy,pass_test_gate,fail_reason,model_pkl
431.0,7.0,0.0136018269414138,0.9092840890464544,0.7163080862766025,7.0,3.787595797422747,0.63,0.6405809086875522,0.67405280404356,0.5389774236387781,1049,1065,0.6647887323943662,0.5366841511187836,True,,C:\Users\leere\PycharmProjects\Football_ML3\Goals\Under_2_5\model_file\best_model_xgb_calibrated_20250818_175932.pkl
493.0,7.0,0.1981161867940402,0.8777699783641514,0.8204507626010634,4.0,0.3258884990221856,0.61,0.6083602515493428,0.6381887106400262,0.5411686586985391,1442,1802,0.6304106548279689,0.544585352898214,True,,C:\Users\leere\PycharmProjects\Football_ML3\Goals\Under_2_5\model_file\best_model_xgb_calibrated_20250818_171709.pkl
493.0,7.0,0.1981161867940402,0.8777699783641514,0.8204507626010634,4.0,0.3258884990221856,0.59,0.6049062732342964,0.6304849062613267,0.55132802124834,2121,2397,0.6278681685440134,0.554080074364252,True,,
800.0,6.0,0.0139552586082366,0.9440355906783172,0.7605847086803397,8.0,1.6518682085004068,0.59,0.600663100022034,0.6260860791847253,0.5561752988047808,2520,2760,0.6173913043478261,0.556403957240555,True,,
493.0,7.0,0.1981161867940402,0.8777699783641514,0.8204507626010634,4.0,0.3258884990221856,0.58,0.600663100022034,0.6246490025634582,0.5561752988047808,2520,2774,0.6207642393655372,0.5578646836199456,True,,
